"participant_id","state_current","response_current","state_next","state_next_n","state_next_p"
20,2,"a",0,4,0.571428571428571
20,2,"a",1,0,0
20,2,"a",2,0,0
20,2,"a",3,3,0.428571428571429
20,2,"b",0,0,0
20,2,"b",1,0,0
20,2,"b",2,14,1
20,2,"b",3,0,0
20,3,"a",0,1,0.25
20,3,"a",1,3,0.75
20,3,"a",2,0,0
20,3,"a",3,0,0
20,3,"b",0,0,0
20,3,"b",1,0,0
20,3,"b",2,0,0
20,3,"b",3,8,1
21,0,"a",0,0,0
21,0,"a",1,0,0
21,0,"a",2,6,1
21,0,"a",3,0,0
21,0,"b",0,0,0
21,0,"b",1,0,0
21,0,"b",2,4,1
21,0,"b",3,0,0
21,1,"a",0,2,1
21,1,"a",1,0,0
21,1,"a",2,0,0
21,1,"a",3,0,0
21,1,"b",0,0,0
21,1,"b",1,0,0
21,1,"b",2,0,0
21,1,"b",3,0,0
21,2,"a",0,6,0.666666666666667
21,2,"a",1,0,0
21,2,"a",2,0,0
21,2,"a",3,3,0.333333333333333
21,2,"b",0,0,0
21,2,"b",1,0,0
21,2,"b",2,15,1
21,2,"b",3,0,0
21,3,"a",0,2,0.5
21,3,"a",1,2,0.5
21,3,"a",2,0,0
21,3,"a",3,0,0
21,3,"b",0,0,0
21,3,"b",1,0,0
21,3,"b",2,0,0
21,3,"b",3,4,1
22,0,"a",0,0,0
22,0,"a",1,0,0
22,0,"a",2,6,1
22,0,"a",3,0,0
22,0,"b",0,0,0
22,0,"b",1,0,0
22,0,"b",2,7,1
22,0,"b",3,0,0
22,1,"a",0,3,1
22,1,"a",1,0,0
22,1,"a",2,0,0
22,1,"a",3,0,0
22,1,"b",0,0,0
22,1,"b",1,0,0
22,1,"b",2,0,0
22,1,"b",3,0,0
22,2,"a",0,6,0.666666666666667
22,2,"a",1,0,0
22,2,"a",2,0,0
22,2,"a",3,3,0.333333333333333
22,2,"b",0,0,0
22,2,"b",1,0,0
22,2,"b",2,13,1
22,2,"b",3,0,0
22,3,"a",0,2,0.4
22,3,"a",1,3,0.6
22,3,"a",2,0,0
22,3,"a",3,0,0
22,3,"b",0,0,0
22,3,"b",1,0,0
22,3,"b",2,0,0
22,3,"b",3,1,1
23,0,"a",0,0,0
23,0,"a",1,0,0
23,0,"a",2,10,1
23,0,"a",3,0,0
23,0,"b",0,0,0
23,0,"b",1,0,0
23,0,"b",2,3,1
23,0,"b",3,0,0
23,1,"a",0,2,1
23,1,"a",1,0,0
23,1,"a",2,0,0
23,1,"a",3,0,0
23,1,"b",0,2,1
23,1,"b",1,0,0
23,1,"b",2,0,0
23,1,"b",3,0,0
23,2,"a",0,6,0.666666666666667
23,2,"a",1,0,0
23,2,"a",2,0,0
23,2,"a",3,3,0.333333333333333
23,2,"b",0,0,0
23,2,"b",1,0,0
23,2,"b",2,10,1
23,2,"b",3,0,0
23,3,"a",0,2,0.4
23,3,"a",1,3,0.6
23,3,"a",2,0,0
23,3,"a",3,0,0
23,3,"b",0,0,0
23,3,"b",1,0,0
23,3,"b",2,0,0
23,3,"b",3,3,1
24,0,"a",0,0,0
24,0,"a",1,0,0
24,0,"a",2,0,0
24,0,"a",3,3,1
24,0,"b",0,0,0
24,0,"b",1,0,0
24,0,"b",2,0,0
24,0,"b",3,1,1
24,1,"a",0,1,0.25
24,1,"a",1,3,0.75
24,1,"a",2,0,0
24,1,"a",3,0,0
24,1,"b",0,0,0
24,1,"b",1,4,0.571428571428571
24,1,"b",2,0,0
24,1,"b",3,3,0.428571428571429
24,2,"a",0,0,0
24,2,"a",1,0,0
24,2,"a",2,9,1
24,2,"a",3,0,0
24,2,"b",0,3,0.375
24,2,"b",1,5,0.625
24,2,"b",2,0,0
24,2,"b",3,0,0
24,3,"a",0,0,0
24,3,"a",1,0,0
24,3,"a",2,2,1
24,3,"a",3,0,0
24,3,"b",0,0,0
24,3,"b",1,0,0
24,3,"b",2,6,0.6
24,3,"b",3,4,0.4
